Country Name	Country Code	Series Name	Series Code	2021 [YR2021]
Serbia	SRB	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	20.04573
Slovak Republic	SVK	Account at a formal financial institution (% age 15+)	GFDD.AI.05	95.6197
Slovak Republic	SVK	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	58.85001
Slovak Republic	SVK	Account used to receive wages (% age 15+)	GFDD.AI.11	54.83364
Slovak Republic	SVK	Credit card (% age 15+)	GFDD.AI.20	30.93812
Slovak Republic	SVK	Debit card (% age 15+)	GFDD.AI.21	89.16058
Slovak Republic	SVK	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	92.67116
Slovak Republic	SVK	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	27.17976
Slovenia	SVN	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.04966
Slovenia	SVN	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	39.84549
Slovenia	SVN	Account used to receive wages (% age 15+)	GFDD.AI.11	57.33865
Slovenia	SVN	Credit card (% age 15+)	GFDD.AI.20	45.04756
Slovenia	SVN	Debit card (% age 15+)	GFDD.AI.21	96.63953
Slovenia	SVN	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	93.60808
Slovenia	SVN	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	31.03794
Spain	ESP	Account at a formal financial institution (% age 15+)	GFDD.AI.05	98.29844
Spain	ESP	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	53.53113
Spain	ESP	Account used to receive wages (% age 15+)	GFDD.AI.11	35.07179
Spain	ESP	Credit card (% age 15+)	GFDD.AI.20	56.60897
Spain	ESP	Debit card (% age 15+)	GFDD.AI.21	83.27872
Spain	ESP	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	97.14665
Spain	ESP	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	8.030812
Switzerland	CHE	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.49103
Switzerland	CHE	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	56.22841
Switzerland	CHE	Account used to receive wages (% age 15+)	GFDD.AI.11	34.95145
Switzerland	CHE	Credit card (% age 15+)	GFDD.AI.20	69.20733
Switzerland	CHE	Debit card (% age 15+)	GFDD.AI.21	85.37373
Switzerland	CHE	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	98.02178
Switzerland	CHE	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	17.95017
Sweden	SWE	Account at a formal financial institution (% age 15+)	GFDD.AI.05	99.68876
Sweden	SWE	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	79.74033
Sweden	SWE	Account used to receive wages (% age 15+)	GFDD.AI.11	67.42933
Sweden	SWE	Credit card (% age 15+)	GFDD.AI.20	48.35307
Sweden	SWE	Debit card (% age 15+)	GFDD.AI.21	98.16763
