Country Name	Country Code	Series Name	Series Code	2021 [YR2021]
Kosovo	XKX	Account used to receive wages (% age 15+)	GFDD.AI.11	16.75969
Kosovo	XKX	Credit card (% age 15+)	GFDD.AI.20	12.88079
Kosovo	XKX	Debit card (% age 15+)	GFDD.AI.21	40.06715
Kosovo	XKX	Electronic payments used to make payments (% age 15+)	GFDD.AI.22	32.2226
Kosovo	XKX	Mobile phone used to pay bills (% age 15+)	GFDD.AI.23	2.738448
Latvia	LVA	Account at a formal financial institution (% age 15+)	GFDD.AI.05	96.61872
Latvia	LVA	Saved at a financial institution in the past year (% age 15+)	GFDD.AI.06	42.87068
Latvia	LVA	Account used to receive wages (% age 15+)	GFDD.AI.11	53.22313
Latvia	LVA	Credit card (% age 15+)	GFDD.AI.20	17.0828
Latvia	LVA	Debit card (% age 15+)	GFDD.AI.21	88.52552
