Date,Open,High,Low,Close,Adj Close,Volume
2021-06-14,2337.449951,2348.639893,2320.169922,2326.149902,2326.149902,4151200000
2021-06-15,2326.760010,2327.870117,2301.780029,2320.070068,2320.070068,4048940000
2021-06-16,2319.090088,2321.909912,2296.209961,2314.689941,2314.689941,4538350000
2021-06-17,2314.199951,2316.600098,2264.120117,2287.459961,2287.459961,5312680000
2021-06-18,2284.959961,2284.959961,2229.580078,2237.750000,2237.750000,6817010000
2021-06-21,2238.620117,2289.760010,2238.620117,2286.090088,2286.090088,4128950000
2021-06-22,2285.459961,2298.360107,2266.159912,2295.949951,2295.949951,3828390000
2021-06-23,2296.399902,2314.300049,2296.399902,2303.469971,2303.469971,3730350000
2021-06-24,2305.409912,2333.659912,2305.409912,2333.620117,2333.620117,3816660000
2021-06-25,2336.860107,2350.219971,2334.399902,2334.399902,2334.399902,7341450000
2021-06-28,2335.340088,2342.189941,2307.219971,2322.340088,2322.340088,4147890000
2021-06-29,2323.070068,2332.280029,2305.919922,2308.840088,2308.840088,3707150000
2021-06-30,2307.949951,2317.300049,2295.429932,2310.550049,2310.550049,4266040000
2021-07-01,2312.570068,2332.280029,2312.570068,2329.360107,2329.360107,3788230000
2021-07-02,2328.530029,2332.949951,2302.939941,2305.760010,2305.760010,3225840000
2021-07-06,2305.959961,2306.909912,2256.969971,2274.500000,2274.500000,4309570000
2021-07-07,2274.530029,2278.100098,2235.500000,2252.850098,2252.850098,4037380000
2021-07-08,2249.939941,2252.719971,2192.979980,2231.679932,2231.679932,4347500000
2021-07-09,2234.830078,2280.010010,2234.830078,2280.000000,2280.000000,3531120000
2021-07-12,2279.629883,2283.459961,2262.260010,2281.820068,2281.820068,3384460000
2021-07-13,2280.489990,2280.489990,2238.370117,2238.860107,2238.860107,3695430000
2021-07-14,2240.250000,2254.810059,2201.229980,2202.360107,2202.360107,4006370000
2021-07-15,2201.270020,2202.750000,2166.330078,2190.290039,2190.290039,3905230000
2021-07-16,2191.870117,2210.500000,2160.530029,2163.239990,2163.239990,3985700000
2021-07-19,2159.709961,2159.709961,2107.070068,2130.679932,2130.679932,5157660000
2021-07-20,2131.790039,2206.629883,2131.790039,2194.300049,2194.300049,4438270000
2021-07-21,2195.750000,2236.939941,2195.750000,2234.040039,2234.040039,3810280000
2021-07-22,2233.780029,2233.780029,2192.979980,2199.479980,2199.479980,3358300000
2021-07-23,2201.030029,2212.310059,2186.510010,2209.649902,2209.649902,4540070000
2021-07-26,2210.110107,2232.219971,2207.540039,2216.919922,2216.919922,4275630000
2021-07-27,2215.639893,2215.639893,2171.370117,2191.830078,2191.830078,4241950000
2021-07-28,2193.159912,2237.040039,2190.659912,2224.959961,2224.959961,4215290000
2021-07-29,2193.159912,2256.969971,2190.659912,2240.030029,2240.030029,4044600000
2021-07-30,2238.899902,2251.370117,2219.949951,2226.250000,2226.250000,3956740000
2021-08-02,2228.030029,2256.439941,2212.449951,2215.500000,2215.500000,3724090000
2021-08-03,2216.250000,2223.600098,2189.760010,2223.580078,2223.580078,3965190000
2021-08-04,2220.669922,2223.110107,2195.370117,2196.320068,2196.320068,4260760000
2021-08-05,2198.159912,2236.189941,2198.159912,2236.010010,2236.010010,3769410000
2021-08-06,2237.090088,2258.320068,2235.580078,2247.760010,2247.760010,3451870000
2021-08-09,2247.429932,2247.429932,2231.479980,2234.810059,2234.810059,3449280000
2021-08-10,2236.090088,2245.030029,2230.030029,2239.360107,2239.360107,3886610000
2021-08-11,2240.110107,2250.370117,2221.679932,2250.340088,2250.340088,3532560000
2021-08-12,2250.189941,2250.629883,2232.709961,2244.070068,2244.070068,3375310000
2021-08-13,2244.199951,2244.199951,2221.310059,2223.110107,2223.110107,3016470000
2021-08-16,2222.030029,2222.030029,2192.280029,2209.479980,2209.479980,3370640000
2021-08-17,2201.649902,2201.649902,2152.489990,2177.169922,2177.169922,3836960000
2021-08-18,2177.129883,2192.159912,2157.969971,2158.780029,2158.780029,3755590000
